Sujeto,Relación,Objeto,origen
Almirante Martín Jorge Guise,buque de partida de Arica,fragata Protector,chile4_2426
Almirante Martín Jorge Guise,propósito atribuido,llevar fuerzas a Trujillo para sostener gobierno de Riva Agüero,chile4_2442
Almirante Martín Jorge Guise,declaración política,por Riva Agüero,chile4_2425
Almirante Martín Jorge Guise,acción contra Portocarrero,puso en arresto,chile4_2419
Almirante Montague,nacionalidad,Inglaterra,chile4_10405
Almirante Pizarro,comandante de,escuadra que incluía fragata donde embarcó Pérez García,chile4_19804
Almirante francés Rosamel,nacionalidad,francesa,chile4_702
Almojarifazgos de Chile en ese año,valor de,150 pesos,chile1_10664
Alonso Alfaro,cargo militar de,oficial,chile4_14833
Alonso Benítez,cargo de,comandante de la provincia de Chiloé,chile1_6040
Alonso Briseño,orden religiosa,franciscano,chile4_13821
Alonso Briseño,ocupación,teólogo,chile4_13823
Alonso Briseño,cargo religioso de 1646 a 1667,obispo de Nicaragua y de Caracas,chile4_13824
Alonso Briseño,idioma de publicación,latín,chile4_13825
Alonso Briseño,lugar de nacimiento,Santiago,chile4_13822
Alonso Cid Maldonado,cargo,maestre de campo,chile4_11101
Alonso Cid Maldonado,cargo de,corregidor de Chillán,chile1_9220
Alonso Cid Maldonado,cargo,capitán,chile1_8710
Alonso Díaz,forma de ejecución,ahorcado,chile1_10195
Alonso Díaz,tiempo vivido entre indios araucanos,diez años,chile1_10189
Alonso Díaz,instigador de,Hostilidades indígenas,chile1_7078
Alonso Díaz,rol entre indios,caudillo,chile1_10188
Alonso Díaz,ocupación militar de,general de ejércitos indígenas,chile1_6559
Alonso Díaz,nombre alternativo,Painenaucu,chile1_10187
Alonso Díaz,tipo de persona,mestizo,chile1_10186
Alonso Díaz,rol de,instigador de hostilidades indígenas,chile1_6558
Alonso Díaz,origen étnico,Mestizo,chile1_7077
Alonso Díaz,origen étnico,mestizo,chile1_6557
Alonso Díaz (mestizo),combatiente contra,"españoles durante gobiernos de Quiroga, Ruiz de Gamboa y Sotomayor",chile1_7821
Alonso Díaz (mestizo),nombre indígena,Paiñenancu (Paiñancu),chile1_7819
Alonso Enriquez de Guzmán,autor de,historia manuscrita de su propia vida,chile1_1514
Alonso Enríquez de Guzmán,autor de,Vida inédita,chile1_1546
Alonso García (oficial),comprador de caballos a,Alonso Enríquez de Guzmán,chile1_1547
Alonso García Ramón,cargo de,maestre de campo y gobernador de Chile,chile1_10353
Alonso García Ramón,cargo de,maestre de campo de todo el Perú,chile1_9471
Alonso García Ramón,fecha de llegada a Chillán,2 de enero de 1601,chile1_9506
Alonso García Ramón,cargo de,corregidor de Potosí,chile1_9470
Alonso García Ramón,militar que pasó a Chile con,Alonso de Sotomayor,chile1_9468
Alonso García Ramón,período de gobierno interino,1600-1601,chile1_9312
Alonso García Ramón,cargo de,Gobernador,chile4_8442
Alonso García Ramón,comandante en campaña de Flandes,Alejandro Farnesio,chile1_9451
Alonso García Ramón,batalla participada en Flandes,Asalto de Siquem,chile1_9452
Alonso García Ramón,cargo de,corregidor de Arica,chile1_9469
Alonso García Ramón,cargo de,Gobernador interino de Chile,chile1_9440
Alonso García Ramón,fecha de inicio de marcha desde Santiago,principios de diciembre de 1600,chile1_9505
Alonso García Ramón,batalla participada en Flandes,Asalto de Mastrique,chile1_9454
Alonso García Ramón,cargo de,Gobernador de Chile,chile1_10215
Alonso García Ramón,fecha de llegada a Valparaíso,29 de julio de 1600,chile1_9487
Alonso García Ramón,comandante en campañas posteriores,Marqués de Santa Cruz,chile1_9449
Alonso García Ramón,año de servicio en la Goleta,1574,chile1_9448
Alonso García Ramón,lugar de servicio en África,Fuerte de la Goleta,chile1_9447
Alonso García Ramón,comandante en jornada de Navarino,Juan de Austria,chile1_9446
Alonso García Ramón,comandante de columna de,150 hombres,chile1_10180
Alonso García Ramón,fecha de entrada en Santiago,30 de julio de 1600,chile1_9488
Alonso García Ramón,ciudad de nacimiento,Cuenca,chile1_9441
Alonso García Ramón,batalla participada,Jornada de Navarino,chile1_9444
Alonso García Ramón,año de inicio de campaña de Flandes,1579,chile1_9450
Alonso García Ramón,duración del viaje desde el Callao a Chile,cuarenta y siete días,chile1_9486
Alonso García Ramón,cargo de,gobernador de Chile,chile4_9081
Alonso García Ramón,cargo de,Gobernador (predecesor en Chile),chile4_8252
Alonso García Ramón,lugar de combate contra moriscos,Provincia de Granada,chile1_9443
Alonso García Ramón,fecha de zarpe desde el Callao hacia Chile,12 de junio de 1600,chile1_9485
Alonso García Ramón,fecha de expedición de título de gobernador de Chile,enero de 1605,chile1_9473
Alonso García Ramón,edad de inicio de carrera militar,16 años,chile1_9442
Alonso García Ramón,cargo de,sargento mayor,chile1_10179
Alonso García Ramón,batalla participada en Flandes,Ataque de Burgonote,chile1_9453
Alonso García Ramón,lugares de parlamentos,fuerte de Arauco,chile1_10580
Alonso García Ramón,fecha de carta,septiembre de 1607,chile1_10893
Alonso García Ramón,lugar de redacción de carta,márgenes del río Vergara,chile1_10905
Alonso García Ramón,fecha de carta,9 de marzo de 1608,chile1_10904
Alonso García Ramón,destino de viaje,Lima,chile1_7641
Alonso García Ramón,fecha de nombramiento por el virrey,21 de enero de 1605,chile1_10506
Alonso García Ramón,cargo anterior nombrado por el Rey,corregidor de la provincia de Quito,chile1_10507
Alonso García Ramón,fecha de carta al cabildo de Santiago,22 de diciembre de 1604,chile1_10508
Alonso García Ramón,autor de carta fechada,Lima 3 de enero de 1605,chile1_10557
Alonso García Ramón,cargo de,Gobernador de Chile,chile1_10563
Alonso García Ramón,refuerzo militar recibido,ciento treinta hombres,chile1_10564
Alonso García Ramón,fecha de zarpe desde el Callao,1 de febrero de 1605,chile1_10565
Alonso García Ramón,fecha de llegada a Concepción,19 de marzo de 1605,chile1_10566
Alonso García Ramón,fecha de publicación de nombramiento,20 de marzo de 1605,chile1_10567
Alonso García Ramón,cargo nombrado por el virrey,Gobernador de Chile,chile1_10505
Alonso García Ramón,fecha de llegada al fuerte de Paicaví,9 de abril de 1605,chile1_10572
Alonso García Ramón,fecha de parlamento,24 de abril de 1605,chile1_10578
Alonso García Ramón,lugares de parlamentos,fuerte de Lebu,chile1_10579
Alonso García Ramón,autor de carta al Rey fechada,"Santiago, el 23 de noviembre de 1605",chile1_10587
Alonso García Ramón,cargo de,Maestre de campo de Chile,chile1_10380
Alonso García Ramón,enviado por,Alonso de Sotomayor,chile1_7640
Alonso García Ramón,lugar de redacción de carta,Concepción,chile1_10892
Alonso García Ramón,cargo militar en,campañas de Flandes,chile1_8634
Alonso García Ramón,participante en,expedición a Chile de 1582-1583,chile1_8631
Alonso García Ramón,cargo de trabajo,Gobernador del reino de Chile,chile1_10891
Alonso García Ramón,cargo militar de,maestre de campo,chile1_8293
Alonso García Ramón,fecha de envío a Lima como emisario,fines de abril de 1593,chile1_8294
Alonso García Ramón,cargo de,Maestre de campo,chile1_7639
Alonso García Ramón,autor de carta al Rey fechada,Paicaví el 11 de abril de 1605,chile1_10577
Alonso García Ramón,cargo de,gobernador de Chile,chile4_8181
Alonso García Ramón,fecha de carta,27 de diciembre de 1607,chile1_10903
Alonso García Ramón,cargo de,maestre de campo,chile1_7416
Alonso García Ramón,fecha de nombramiento como presidente,23 de marzo de 1606,chile1_10940
Alonso García Ramón,cargo adicional,Presidente de la Real Audiencia de Santiago,chile1_10924
Alonso García Ramón,fecha de aviso,2 de abril de 1587,chile1_7428
Alonso García Ramón,cargo de gobernador de,Chile,chile1_11167
Alonso García Ramón,mando conferido por Sotomayor,Acantonamientos vecinos al Biobío,chile1_7656
Alonso García Ramón,fecha de desembarco en Concepción,19 de marzo de 1605,chile1_10437
Alonso García Ramón,fecha de recepción del mando del ejército,9 de abril de 1605,chile1_10438
Alonso García Ramón,fecha de muerte,15 de agosto de 1610,chile4_7674
Alonso García Ramón,lugar de recepción del mando del ejército,Paicaví,chile1_10439
Alonso García Ramón,repartimiento recibido,Repartimiento de indios en el Cuzco,chile1_7673
Alonso García Ramón,cargo de,gobernador interino de Chile,chile1_11151
Alonso García Ramón,fecha de llegada a Lima,mediados de julio de 1591,chile1_7642
Alonso García Ramón,otorgante del repartimiento,Marqués de Cañete,chile1_7674
Alonso García Ramón,jefe de,Auxiliares enviados desde el Callao a Chile en 1591,chile1_7644
Alonso González de Nijera,periodo de servicio en,guerra de Chile de 1601 a 1608,chile1_945
Alonso González de Nájera,cargo de,maestre de campo,chile1_11007
Alonso González de Nájera,año de llegada a Chile,1600,chile4_14093
Alonso González de Nájera,autor de,Desengaño de la guerra de Chile,chile1_2829
Alonso González de Nájera,cargo militar,capitán,chile1_10849
Alonso González de Nájera,ruta de regreso a España,vía Buenos Aires,chile1_10884
Alonso González de Nájera,cargo en,ejército de Chile,chile1_10601
Alonso González de Nájera,años de servicio en Chile,más de seis años,chile1_10853
Alonso González de Nájera,autor de,volumen sobre la manera de reducir a los indios,chile1_10600
Alonso González de Nájera,cargo militar,maestre de campo,chile1_10850
Alonso González de Nájera,autor de,Desengaño y reparo de la guerra de Chile,chile1_10851
Alonso González de Nájera,cargo de,Maestre de campo en Chile,chile1_10599
Alonso González de Nájera,cargo militar de,Capitán del tercio de infantería,chile1_9798
Alonso González de Nájera,autor de,libro sobre Chile,chile4_14385
Alonso González de Nájera,cargo militar,maestre de campo,chile4_14384
Alonso González de Nájera,guarnición en,Arauco,chile1_10313
Alonso González de Nájera,años de servicio en Chile,más de seis años,chile4_14094
Alonso González de Nájera,cargo posterior,castellano de Puerto Hércules en Italia,chile1_10465
Alonso González de Nájera,cargo de,sargento mayor,chile1_10462
Alonso González de Nájera,tiempo de servicio en Chile,"poco más de seis años, de 1601 a 1607",chile1_10463
Alonso González de Nájera,lugar de naturaleza,ciudad de Cuenca,chile1_10464
Alonso González de Nájera,lugar de origen,"Cuenca, España",chile4_14091
Alonso González de Nájera,autor de,Desengaño i reparo de la guerra del reino de Chile,chile1_10466
Alonso González de Nájera,cargo de,maestre de campo,chile1_2828
Alonso González de Nájera,fecha de partida de Chile,14 de mayo de 1607,chile1_10852
Alonso González de Nájera,cargo de,sargento mayor,chile1_10311
Alonso González de Nájera,autor de,Desengaño de la guerra de Chile,chile1_293
Alonso González de Nájera,autor de,Desengaño de la guerra de Chile,chile1_818
Alonso González de Nájera,comandante de tropas en,Arauco,chile1_10399
Alonso González de Nájera,cargo de,capitán,chile4_14092
Alonso González de Nájera,cargo de,maestre de campo,chile1_292
Alonso González de Nájera,lugar de cargo militar posterior,Italia,chile4_14095
Alonso González de Nájera,experiencia militar previa en,Guerras de Flandes,chile1_9978
Alonso Gómez,cargo militar,Alférez,chile1_10817
Alonso Gómez,condición durante batalla de Boroa,Prisionero de los indios,chile1_10818
Alonso Góngora Marmolejo,autor de,primera historia de la conquista de Chile,chile4_10770
Alonso Góngora Marmolejo,ocupación,cronista,chile4_10769
Alonso Henriquez de Guzman,rol de,ejecutor testamentario de Almagro,chile4_7366
Alonso Maldonado de Torres,cargo de,oidor,chile1_5062
Alonso Mariño de Lobera,hijo de,Pedro Mariño de Lobera,chile1_6604
Alonso Mariño de Lobera,cautiverio en año,1580,chile1_6607
Alonso Mariño de Lobera,tiempo de cautiverio,cinco días,chile1_6605
Alonso Meléndez,fabricante de,fuente de bronce en Santiago,chile4_12240
Alonso Meléndez,oficio de,artífice fundidor,chile4_12239
Alonso Núñez de Castro,cargo,cronista del Rey,chile1_8954
Alonso Núñez de Castro,obra,Las provincias de América,chile1_8955
Alonso Núñez de Valdivia,relación familiar con,Luis de Valdivia como hermano,chile4_9093
Alonso Núñez de Valdivia,cargo de,secretario del Consejo de Hacienda,chile4_9092
Alonso Ortiz,ocupación,licenciado,chile1_5710
Alonso Ortiz de Zúñiga,destino de comisión,Valdivia,chile1_6083
Alonso Picado,relación familiar con,Bravo de Saravia,chile1_6362
Alonso Picado,cargo de trabajo,encomendero de Arequipa,chile1_6363
Alonso Pérez Bueno,ocupación,piloto,chile1_8373
Alonso Pérez Bueno,retenido por,sir Ricardo Hawkins,chile1_8374
Alonso Pérez de Lara,autor de,Compendio de las tres gracias de la santa cruzada,chile1_8000
Alonso Pérez de Lara,cargo de,alcalde del crimen de audiencia de Lima,chile1_7999
Alonso Pérez de Saavedra,personaje histórico representado en,Comedia El falso nuncio de Portugal,chile4_3549
Alonso Rodríguez,cargo en expedición de Alcazaba,piloto,chile1_1429
Alonso Ruano,monto de pensión anual,600 pesos,chile1_8068
Alonso Suárez Maldonado,cargo de,canónigo,chile4_11291
Alonso Sánchez,ocupación,intérprete,chile1_10568
Alonso Sánchez,rol en,Complot de fuga de la colonia,chile1_7388
Alonso Sánchez,ocupación,Clérigo,chile1_7387
Alonso Toro,estudiante enviado a,Europa,chile4_286
Alonso Torres,cargo de,trompeta,chile1_2586
Alonso Vehedor,cargo de,escribano de la expedición de Alcazaba,chile1_1450
Alonso Vásquez,cargo militar,capitán,chile1_9627
Alonso Vásquez,autor de,Los sucesos de Flandes y Francia del tiempo de Alejandro Farnesio,chile1_9626
Alonso Vásquez,cargo de,capitán,chile1_9482
Alonso Vásquez,autor de,Los sucesos de Flandes y Francia del tiempo de Alejandro Farnesio,chile1_9483
Alonso d'Ovalle,ocupación,padre,chile1_414
Alonso d'Ovalle,autor de,Histórica relación,chile1_415
Alonso de Aguilera,fecha de partida a España,15 de octubre de 1550,chile1_3220
Alonso de Aguilera,pariente de,Pedro de Valdivia,chile1_3219
Alonso de Aguilera,origen de,Extremadura,chile1_3218
Alonso de Aguillera,rol asignado,solicitante de gracias y mercedes en la Corte,chile1_3331
Alonso de Alvarado,cargo de,mariscal en consejo de guerra,chile1_2657
Alonso de Camargo,cargo,comandante de nave española,chile1_2026
Alonso de Camargo,lugar de llegada en Perú,puerto de Quilca,chile1_2027
Alonso de Córdoba,beneficiario de,repartimiento de indios,chile1_2400
Alonso de Córdoba,cargo de,Regidor,chile1_8039
Alonso de Córdoba y Figueroa,padre de,historiador Córdoba Figueroa,chile4_12319
Alonso de Ercilla,autor de,canto XXXV de La Araucana,chile1_4413
Alonso de Ercilla,autor de,La Araucana,chile1_3691
Alonso de Ercilla,autor de cantos sobre Caupolicán,cantos XXXIII y XXXIV de La Araucana,chile1_4582
Alonso de Ercilla,autor de,Araucana,chile1_4729
Alonso de Ercilla,autor de,la Araucana,chile1_3582
Alonso de Ercilla,autor de,La Araucana,chile1_4581
Alonso de Ercilla,lugar visitado,Chile,chile1_4732
Alonso de Ercilla,condenado a muerte bajo gobierno de,García Hurtado de Mendoza,chile1_4584
